Bike ID,Gender,Birth Year,Age,User Type,Trip Duration,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,Start Time,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Stop Time
42396,Female,1988,33,Subscriber,997,3638,Washington St,40.7242941,-74.0354826,2020-11-01 09:59:02.8110,3483,Montgomery St,40.71942,-74.05099,2020-11-01 10:15:40.7130
44239,Unknown,1969,52,Customer,596,3187,Warren St,40.721123600000006,-74.03805095,2020-11-01 10:01:20.9760,3209,Brunswick St,40.7241765,-74.05065640000001,2020-11-01 10:11:17.7760
44973,Male,1990,31,Customer,1581,3225,Baldwin at Montgomery,40.7236589,-74.0641943,2020-11-01 10:02:22.8790,3273,Manila & 1st,40.72165072487999,-74.04288411140442,2020-11-01 10:28:44.4590
42277,Male,1973,48,Subscriber,610,3192,Liberty Light Rail,40.711242299999995,-74.0557013,2020-11-01 10:03:01.8310,3185,City Hall,40.717732500000004,-74.04384499999999,2020-11-01 10:13:12.7120
42546,Female,1991,30,Subscriber,1504,3187,Warren St,40.721123600000006,-74.03805095,2020-11-01 10:05:14.8020,3187,Warren St,40.721123600000006,-74.03805095,2020-11-01 10:30:18.8930
42352,Female,1986,35,Subscriber,576,3268,Lafayette Park,40.71346382669195,-74.06285852193831,2020-11-01 10:05:19.5280,3213,Van Vorst Park,40.71848892,-74.047726625,2020-11-01 10:14:56.1400
44342,Female,1994,27,Customer,2856,3211,Newark Ave,40.72152515,-74.046304543,2020-11-01 10:05:34.5900,3268,Lafayette Park,40.71346382669195,-74.06285852193831,2020-11-01 10:53:10.7850
40867,Male,1988,33,Customer,1440,3187,Warren St,40.721123600000006,-74.03805095,2020-11-01 10:06:13.3000,3187,Warren St,40.721123600000006,-74.03805095,2020-11-01 10:30:14.1600
42130,Female,1989,32,Subscriber,142,3184,Paulus Hook,40.7141454,-74.0335519,2020-11-01 10:06:34.2640,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,2020-11-01 10:08:56.6450
44556,Male,1975,46,Subscriber,831,3195,Sip Ave,40.73089709786179,-74.06391263008119,2020-11-01 10:07:08.1810,3203,Hamilton Park,40.727595965999996,-74.044247311,2020-11-01 10:20:59.5260
42308,Male,1966,55,Subscriber,219,3203,Hamilton Park,40.727595965999996,-74.044247311,2020-11-01 10:07:17.0430,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,2020-11-01 10:10:56.2710
42439,Male,1993,28,Subscriber,703,3679,Bergen Ave,40.72210378668603,-74.07145500183104,2020-11-01 10:08:55.4610,3679,Bergen Ave,40.72210378668603,-74.07145500183104,2020-11-01 10:20:39.3920
47029,Female,1981,40,Subscriber,976,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,2020-11-01 10:08:55.9440,3209,Brunswick St,40.7241765,-74.05065640000001,2020-11-01 10:25:12.3630
40174,Female,1989,32,Subscriber,3233,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,2020-11-01 10:09:57.9930,3202,Newport PATH,40.7272235,-74.03375890000001,2020-11-01 11:03:51.5290
35358,Male,1981,40,Subscriber,239,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,2020-11-01 10:10:40.4120,3195,Sip Ave,40.73089709786179,-74.06391263008119,2020-11-01 10:14:39.5140
42593,Male,1980,41,Subscriber,325,3213,Van Vorst Park,40.71848892,-74.047726625,2020-11-01 10:16:59.5110,3187,Warren St,40.721123600000006,-74.03805095,2020-11-01 10:22:25.4790
44737,Female,1978,43,Customer,1272,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,2020-11-01 10:17:13.3130,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,2020-11-01 10:38:26.0470
42308,Male,1966,55,Subscriber,1036,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,2020-11-01 10:17:47.5750,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,2020-11-01 10:35:04.3630
42141,Female,1977,44,Customer,1160,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,2020-11-01 10:18:34.0580,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,2020-11-01 10:37:54.5020
41696,Male,1982,39,Subscriber,373,3185,City Hall,40.717732500000004,-74.04384499999999,2020-11-01 10:20:38.9830,3268,Lafayette Park,40.71346382669195,-74.06285852193831,2020-11-01 10:26:52.0390
